;Datatype;Decimals;Default;Description;ID;Key;ParentID;Position;ReleasePolicy;Title;Type;Unit;odata.type
458;Long;0.0;Impossible;;458;BetweenMaleAndFemale_410;455.0;410.0;;Between male and female;Topic;number;Cbs.OData.Topic
463;Long;0.0;Impossible;;463;BetweenMaleAndFemale_414;460.0;414.0;;Between male and female;Topic;number;Cbs.OData.Topic
468;Long;0.0;Impossible;;468;BetweenMaleAndFemale_418;465.0;418.0;;Between male and female;Topic;number;Cbs.OData.Topic
459;Long;0.0;Impossible;;459;BetweenTwoFemales_411;455.0;411.0;;Between two females;Topic;number;Cbs.OData.Topic
464;Long;0.0;Impossible;;464;BetweenTwoFemales_415;460.0;415.0;;Between two females;Topic;number;Cbs.OData.Topic
469;Long;0.0;Impossible;;469;BetweenTwoFemales_419;465.0;419.0;;Between two females;Topic;number;Cbs.OData.Topic
457;Long;0.0;Impossible;;457;BetweenTwoMales_409;455.0;409.0;;Between two males;Topic;number;Cbs.OData.Topic
462;Long;0.0;Impossible;;462;BetweenTwoMales_413;460.0;413.0;;Between two males;Topic;number;Cbs.OData.Topic
467;Long;0.0;Impossible;;467;BetweenTwoMales_417;465.0;417.0;;Between two males;Topic;number;Cbs.OData.Topic
56;Double;0.0;Impossible;;56;BoysAndGirls_45;55.0;45.0;;Boys and girls;Topic;number;Cbs.OData.Topic
57;Long;0.0;Impossible;;57;Boys_46;55.0;46.0;;Boys;Topic;number;Cbs.OData.Topic
515;Long;0.0;Impossible;;515;Burundi_453;511.0;453.0;;Burundi;Topic;number;Cbs.OData.Topic
126;Double;0.0;Impossible;China, Tibet.;126;China_106;120.0;106.0;;China;Topic;number;Cbs.OData.Topic
171;Long;0.0;Impossible;China, Tibet.;171;China_148;165.0;148.0;;China;Topic;number;Cbs.OData.Topic
217;Double;0.0;Impossible;China, Tibet.;217;China_190;211.0;190.0;;China;Topic;number;Cbs.OData.Topic
262;Double;0.0;Impossible;China, Tibet.;262;China_232;256.0;232.0;;China;Topic;number;Cbs.OData.Topic
308;Long;0.0;Impossible;China, Tibet.;308;China_274;302.0;274.0;;China;Topic;number;Cbs.OData.Topic
353;Long;0.0;Impossible;China, Tibet.;353;China_316;347.0;316.0;;China;Topic;number;Cbs.OData.Topic
398;Double;0.0;Impossible;China, Tibet.;398;China_358;392.0;358.0;;China;Topic;number;Cbs.OData.Topic
516;Long;0.0;Impossible;;516;China_454;511.0;454.0;;China;Topic;number;Cbs.OData.Topic
80;Long;0.0;Impossible;China, Tibet.;80;China_64;74.0;64.0;;China;Topic;number;Cbs.OData.Topic
498;Long;0.0;Impossible;;498;DeathOfFemalePartner_440;495.0;440.0;;Death of female partner;Topic;number;Cbs.OData.Topic
503;Long;0.0;Impossible;;503;DeathOfFemalePartner_444;500.0;444.0;;Death of female partner;Topic;number;Cbs.OData.Topic
497;Long;0.0;Impossible;;497;DeathOfMalePartner_439;495.0;439.0;;Death of male partner;Topic;number;Cbs.OData.Topic
502;Long;0.0;Impossible;;502;DeathOfMalePartner_443;500.0;443.0;;Death of male partner;Topic;number;Cbs.OData.Topic
3;Long;0.0;Impossible;"Death:
Person declared dead by an authorized doctor.";3;Deaths_2;1.0;2.0;;Deaths;Topic;number;Cbs.OData.Topic
499;Long;0.0;Impossible;;499;DivorceEndingPartnership_441;495.0;441.0;;Divorce / ending partnership;Topic;number;Cbs.OData.Topic
504;Long;0.0;Impossible;;504;Divorce_445;500.0;445.0;;Divorce;Topic;number;Cbs.OData.Topic
476;Long;0.0;Impossible;"Divorced after legal marriage and divorced after partnership.

Divorced after a legal marriage:
Marital status resulting from ending a legal marriage by divorce. Excluding judicial separations which are included in the category married.

Divorced after a partnership:
Marital status resulting from ending a registered partnership other than by the death of the partner.";476;Divorced_424;471.0;424.0;;Divorced;Topic;number;Cbs.OData.Topic
482;Long;0.0;Impossible;"Divorced after legal marriage and divorced after partnership.

Divorced after a legal marriage:
Marital status resulting from ending a legal marriage by divorce. Excluding judicial separations which are included in the category married.

Divorced after a partnership:
Marital status resulting from ending a registered partnership other than by the death of the partner.";482;Divorced_429;477.0;429.0;;Divorced;Topic;number;Cbs.OData.Topic
488;Long;0.0;Impossible;Marital status resulting from ending a legal marriage by divorce, or by ending a registered partnership other than by the death of the partner.;488;Divorced_433;484.0;433.0;;Divorced;Topic;number;Cbs.OData.Topic
493;Long;0.0;Impossible;Marital status resulting from ending a legal marriage by divorce, or by ending a registered partnership other than by the death of the partner.;493;Divorced_437;489.0;437.0;;Divorced;Topic;number;Cbs.OData.Topic
6;Long;0.0;Impossible;"Emigration excluding administrative corrections.
Data on emigration including net administrative corrections give a better impression of the true level of emigration than data on emigration excluding net administrative corrections.

Emigration:
People leaving for another country.
Emigration relates to all individuals departing from the Netherlands, whose departure result in removals from the Netherlands population registers. The criteria for removal from the registers are 8 months abroad in the following 12 months.

Administrative correction:
Entries in and removals from the municipal population register for reasons other than birth, death, arrival, departure or municipal boundary change.
The greater part of these corrections relates to the processing of either the departures of persons who did not notify the local authorities or the subsequent arrivals.

Administrative entry:
Decision by a municipality, at the request of the person concerned, to include that person in its population while it has no knowledge of birth, immigration or establishment of that person from another municipality in the Netherlands.

Administrative removal:
Decision by a municipality no longer to include a person in its population, once it has established that the address of the person is unknown, the person cannot be contacted and probably no longer resides in a municipality in the Netherlands.";6;EmigrationExcludingAdministrativeC_5;1.0;5.0;;Emigration excluding administrative c...;Topic;number;Cbs.OData.Topic
5;Double;0.0;Impossible;"Emigration including administrative corrections.
Data on emigration including net administrative corrections give a better impression of the true level of emigration than data on emigration excluding net administrative corrections.

Emigration:
People leaving for another country.
Emigration relates to all individuals departing from the Netherlands, whose departure result in removals from the Netherlands population registers. The criteria for removal from the registers are 8 months abroad in the following 12 months.

Administrative correction:
Entries in and removals from the municipal population register for reasons other than birth, death, arrival, departure or municipal boundary change.
The greater part of these corrections relates to the processing of either the departures of persons who did not notify the local authorities or the subsequent arrivals.

Administrative entry:
Decision by a municipality, at the request of the person concerned, to include that person in its population while it has no knowledge of birth, immigration or establishment of that person from another municipality in the Netherlands.

Administrative removal:
Decision by a municipality no longer to include a person in its population, once it has established that the address of the person is unknown, the person cannot be contacted and probably no longer resides in a municipality in the Netherlands.";5;EmigrationIncludingAdministrativeC_4;1.0;4.0;;Emigration including administrative c...;Topic;number;Cbs.OData.Topic
158;Long;0.0;Impossible;;158;Europe_136;153.0;136.0;;Europe;Topic;number;Cbs.OData.Topic
204;Double;0.0;Impossible;;204;Europe_178;199.0;178.0;;Europe;Topic;number;Cbs.OData.Topic
249;Double;0.0;Impossible;;249;Europe_220;244.0;220.0;;Europe;Topic;number;Cbs.OData.Topic
295;Long;0.0;Impossible;;295;Europe_262;290.0;262.0;;Europe;Topic;number;Cbs.OData.Topic
340;Long;0.0;Impossible;;340;Europe_304;335.0;304.0;;Europe;Topic;number;Cbs.OData.Topic
385;Double;0.0;Impossible;;385;Europe_346;380.0;346.0;;Europe;Topic;number;Cbs.OData.Topic
67;Long;0.0;Impossible;;67;Europe_52;62.0;52.0;;Europe;Topic;number;Cbs.OData.Topic
113;Double;0.0;Impossible;;113;Europe_94;108.0;94.0;;Europe;Topic;number;Cbs.OData.Topic
119;Double;0.0;Impossible;"Total of the countries of the European Union (1 January 1995) excluding The Netherlands.

European Union:
Convention between European countries.
The composition of the European Union 1 January 1995: Austria, Belgium, Denmark, Finland, France, Germany, Greece, Ireland, Italy, Luxembourg, Portugal, Spain, Sweden, and the United Kingdom.";119;EuropeanUnion14Countries_100;108.0;100.0;;European Union: 14 countries;Topic;number;Cbs.OData.Topic
164;Long;0.0;Impossible;"Total of the countries of the European Union (1 January 1995) excluding The Netherlands.

European Union:
Convention between European countries.
The composition of the European Union 1 January 1995: Austria, Belgium, Denmark, Finland, France, Germany, Greece, Ireland, Italy, Luxembourg, Portugal, Spain, Sweden, and the United Kingdom.";164;EuropeanUnion14Countries_142;153.0;142.0;;European Union: 14 countries;Topic;number;Cbs.OData.Topic
210;Double;0.0;Impossible;"Total of the countries of the European Union (1 January 1995) excluding The Netherlands.

European Union:
Convention between European countries.
The composition of the European Union 1 January 1995: Austria, Belgium, Denmark, Finland, France, Germany, Greece, Ireland, Italy, Luxembourg, Portugal, Spain, Sweden, and the United Kingdom.";210;EuropeanUnion14Countries_184;199.0;184.0;;European Union: 14 countries;Topic;number;Cbs.OData.Topic
255;Double;0.0;Impossible;"Total of the countries of the European Union (1 January 1995)
excluding The Netherlands.
.
European Union:
Convention between European countries.
The composition of the European Union 1 January 1995: Austria, Belgium, Denmark, Finland, France, Germany,
Greece, Ireland, Italy, Luxembourg, Portugal, Spain, Sweden, and the
United Kingdom.";255;EuropeanUnion14Countries_226;244.0;226.0;;European Union: 14 countries;Topic;number;Cbs.OData.Topic
301;Long;0.0;Impossible;"Total of the countries of the European Union (1 January 1995)
excluding The Netherlands.
.
European Union:
Convention between European countries.
The composition of the European Union 1 January 1995: Austria, Belgium, Denmark, Finland, France, Germany,
Greece, Ireland, Italy, Luxembourg, Portugal, Spain, Sweden, and the
United Kingdom.";301;EuropeanUnion14Countries_268;290.0;268.0;;European Union: 14 countries;Topic;number;Cbs.OData.Topic
346;Long;0.0;Impossible;"Total of the countries of the European Union (1 January 1995)
excluding The Netherlands.
.
European Union:
Convention between European countries.
The composition of the European Union 1 January 1995: Austria, Belgium, Denmark, Finland, France, Germany,
Greece, Ireland, Italy, Luxembourg, Portugal, Spain, Sweden, and the
United Kingdom.";346;EuropeanUnion14Countries_310;335.0;310.0;;European Union: 14 countries;Topic;number;Cbs.OData.Topic
391;Double;0.0;Impossible;"Total of the countries of the European Union (1 January 1995)
excluding The Netherlands.
.
European Union:
Convention between European countries.
The composition of the European Union 1 January 1995: Austria, Belgium, Denmark, Finland, France, Germany,
Greece, Ireland, Italy, Luxembourg, Portugal, Spain, Sweden, and the
United Kingdom.";391;EuropeanUnion14Countries_352;380.0;352.0;;European Union: 14 countries;Topic;number;Cbs.OData.Topic
73;Long;0.0;Impossible;"Total of the countries of the European Union (1 January 1995) excluding The Netherlands.

European Union:
Convention between European countries.
The composition of the European Union 1 January 1995: Austria, Belgium, Denmark, Finland, France, Germany, Greece, Ireland, Italy, Luxembourg, Portugal, Spain, Sweden, and the United Kingdom.";73;EuropeanUnion14Countries_58;62.0;58.0;;European Union: 14 countries;Topic;number;Cbs.OData.Topic
163;Long;0.0;Impossible;"Total of the countries of the European Union (1 May 2004) excluding The Netherlands.

European Union:
Convention between European countries.
The composition of the European Union 1 May 2004: Austria, Belgium, Cyprus, Czech Republic, Denmark, Estonia, Finland, France, Germany, Greece, Hungary, Ireland, Italy, Latvia, Lithuania, Luxembourg, Malta, Poland, Portugal, Slovakia, Slovenia, Spain, Sweden, and the United Kingdom.";163;EuropeanUnion24Countries_141;153.0;141.0;;European Union: 24 countries;Topic;number;Cbs.OData.Topic
209;Double;0.0;Impossible;"Total of the countries of the European Union (1 May 2004) excluding The Netherlands.

European Union:
Convention between European countries.
The composition of the European Union 1 May 2004: Austria, Belgium, Cyprus, Czech Republic, Denmark, Estonia, Finland, France, Germany, Greece, Hungary, Ireland, Italy, Latvia, Lithuania, Luxembourg, Malta, Poland, Portugal, Slovakia, Slovenia, Spain, Sweden, and the United Kingdom.";209;EuropeanUnion24Countries_183;199.0;183.0;;European Union: 24 countries;Topic;number;Cbs.OData.Topic
254;Double;0.0;Impossible;"Total of the countries of the European Union (1 May 2004) excluding
The Netherlands.
.
European Union:
Convention between European countries.
The composition of the European Union 1 May 2004: Austria, Belgium, Cyprus, Czech Republic, Denmark, Estonia,
Finland, France, Germany, Greece, Hungary, Ireland, Italy, Latvia,
Lithuania, Luxembourg, Malta, Poland, Portugal, Slovakia, Slovenia,
Spain, Sweden, and the United Kingdom.";254;EuropeanUnion24Countries_225;244.0;225.0;;European Union: 24 countries;Topic;number;Cbs.OData.Topic
300;Long;0.0;Impossible;"Total of the countries of the European Union (1 May 2004) excluding
The Netherlands.
.
European Union:
Convention between European countries.
The composition of the European Union 1 May 2004: Austria, Belgium, Cyprus, Czech Republic, Denmark, Estonia,
Finland, France, Germany, Greece, Hungary, Ireland, Italy, Latvia,
Lithuania, Luxembourg, Malta, Poland, Portugal, Slovakia, Slovenia,
Spain, Sweden, and the United Kingdom.";300;EuropeanUnion24Countries_267;290.0;267.0;;European Union: 24 countries;Topic;number;Cbs.OData.Topic
345;Long;0.0;Impossible;"Total of the countries of the European Union (1 May 2004) excluding
The Netherlands.
.
European Union:
Convention between European countries.
The composition of the European Union 1 May 2004: Austria, Belgium, Cyprus, Czech Republic, Denmark, Estonia,
Finland, France, Germany, Greece, Hungary, Ireland, Italy, Latvia,
Lithuania, Luxembourg, Malta, Poland, Portugal, Slovakia, Slovenia,
Spain, Sweden, and the United Kingdom.";345;EuropeanUnion24Countries_309;335.0;309.0;;European Union: 24 countries;Topic;number;Cbs.OData.Topic
390;Double;0.0;Impossible;"Total of the countries of the European Union (1 May 2004) excluding
The Netherlands.
.
European Union:
Convention between European countries.
The composition of the European Union 1 May 2004: Austria, Belgium, Cyprus, Czech Republic, Denmark, Estonia,
Finland, France, Germany, Greece, Hungary, Ireland, Italy, Latvia,
Lithuania, Luxembourg, Malta, Poland, Portugal, Slovakia, Slovenia,
Spain, Sweden, and the United Kingdom.";390;EuropeanUnion24Countries_351;380.0;351.0;;European Union: 24 countries;Topic;number;Cbs.OData.Topic
72;Long;0.0;Impossible;"Total of the countries of the European Union (1 May 2004) excluding The Netherlands.

European Union:
Convention between European countries.
The composition of the European Union 1 May 2004: Austria, Belgium, Cyprus, Czech Republic, Denmark, Estonia, Finland, France, Germany, Greece, Hungary, Ireland, Italy, Latvia, Lithuania, Luxembourg, Malta, Poland, Portugal, Slovakia, Slovenia, Spain, Sweden, and the United Kingdom.";72;EuropeanUnion24Countries_57;62.0;57.0;;European Union: 24 countries;Topic;number;Cbs.OData.Topic
118;Double;0.0;Impossible;"Total of the countries of the European Union (1 May 2004) excluding The Netherlands.

European Union:
Convention between European countries.
The composition of the European Union 1 May 2004: Austria, Belgium, Cyprus, Czech Republic, Denmark, Estonia, Finland, France, Germany, Greece, Hungary, Ireland, Italy, Latvia, Lithuania, Luxembourg, Malta, Poland, Portugal, Slovakia, Slovenia, Spain, Sweden, and the United Kingdom.";118;EuropeanUnion24Countries_99;108.0;99.0;;European Union: 24 countries;Topic;number;Cbs.OData.Topic
162;Long;0.0;Impossible;"Total of the countries of the European Union (1 January 2007) excluding The Netherlands.

European Union:
Convention between European countries.
The composition of the European Union 1 January 2007: Austria, Belgium, Bulgaria, Cyprus, Czech Republic, Denmark, Estonia, Finland, France, Germany, Greece, Hungary, Ireland, Italy, Latvia, Lithuania, Luxembourg, Malta, Poland, Portugal, Romania, Slovakia, Slovenia, Spain, Sweden, and the United Kingdom.";162;EuropeanUnion26Countries_140;153.0;140.0;;European Union: 26 countries;Topic;number;Cbs.OData.Topic
208;Double;0.0;Impossible;"Total of the countries of the European Union (1 January 2007) excluding The Netherlands.

European Union:
Convention between European countries.
The composition of the European Union 1 January 2007: Austria, Belgium, Bulgaria, Cyprus, Czech Republic, Denmark, Estonia, Finland, France, Germany, Greece, Hungary, Ireland, Italy, Latvia, Lithuania, Luxembourg, Malta, Poland, Portugal, Romania, Slovakia, Slovenia, Spain, Sweden, and the United Kingdom.";208;EuropeanUnion26Countries_182;199.0;182.0;;European Union: 26 countries;Topic;number;Cbs.OData.Topic
253;Double;0.0;Impossible;"Total of the countries of the European Union (1 January 2007)
excluding The Netherlands.
.
European Union:
Convention between European countries.
The composition of the European Union 1 January 2007: Austria, Belgium, Bulgaria, Cyprus, Czech Republic,
Denmark, Estonia, Finland, France, Germany, Greece, Hungary, Ireland,
Italy, Latvia, Lithuania, Luxembourg, Malta, Poland, Portugal, Romania,
Slovakia, Slovenia, Spain, Sweden, and the United Kingdom.";253;EuropeanUnion26Countries_224;244.0;224.0;;European Union: 26 countries;Topic;number;Cbs.OData.Topic
299;Long;0.0;Impossible;"Total of the countries of the European Union (1 January 2007)
excluding The Netherlands.
.
European Union:
Convention between European countries.
The composition of the European Union 1 January 2007: Austria, Belgium, Bulgaria, Cyprus, Czech Republic,
Denmark, Estonia, Finland, France, Germany, Greece, Hungary, Ireland,
Italy, Latvia, Lithuania, Luxembourg, Malta, Poland, Portugal, Romania,
Slovakia, Slovenia, Spain, Sweden, and the United Kingdom.";299;EuropeanUnion26Countries_266;290.0;266.0;;European Union: 26 countries;Topic;number;Cbs.OData.Topic
344;Long;0.0;Impossible;"Total of the countries of the European Union (1 January 2007)
excluding The Netherlands.
.
European Union:
Convention between European countries.
The composition of the European Union 1 January 2007: Austria, Belgium, Bulgaria, Cyprus, Czech Republic,
Denmark, Estonia, Finland, France, Germany, Greece, Hungary, Ireland,
Italy, Latvia, Lithuania, Luxembourg, Malta, Poland, Portugal, Romania,
Slovakia, Slovenia, Spain, Sweden, and the United Kingdom.";344;EuropeanUnion26Countries_308;335.0;308.0;;European Union: 26 countries;Topic;number;Cbs.OData.Topic
389;Double;0.0;Impossible;"Total of the countries of the European Union (1 January 2007)
excluding The Netherlands.
.
European Union:
Convention between European countries.
The composition of the European Union 1 January 2007: Austria, Belgium, Bulgaria, Cyprus, Czech Republic,
Denmark, Estonia, Finland, France, Germany, Greece, Hungary, Ireland,
Italy, Latvia, Lithuania, Luxembourg, Malta, Poland, Portugal, Romania,
Slovakia, Slovenia, Spain, Sweden, and the United Kingdom.";389;EuropeanUnion26Countries_350;380.0;350.0;;European Union: 26 countries;Topic;number;Cbs.OData.Topic
71;Long;0.0;Impossible;"Total of the countries of the European Union (1 January 2007) excluding The Netherlands.

European Union:
Convention between European countries.
The composition of the European Union 1 January 2007: Austria, Belgium, Bulgaria, Cyprus, Czech Republic, Denmark, Estonia, Finland, France, Germany, Greece, Hungary, Ireland, Italy, Latvia, Lithuania, Luxembourg, Malta, Poland, Portugal, Romania, Slovakia, Slovenia, Spain, Sweden, and the United Kingdom.";71;EuropeanUnion26Countries_56;62.0;56.0;;European Union: 26 countries;Topic;number;Cbs.OData.Topic
117;Double;0.0;Impossible;"Total of the countries of the European Union (1 January 2007) excluding The Netherlands.

European Union:
Convention between European countries.
The composition of the European Union 1 January 2007: Austria, Belgium, Bulgaria, Cyprus, Czech Republic, Denmark, Estonia, Finland, France, Germany, Greece, Hungary, Ireland, Italy, Latvia, Lithuania, Luxembourg, Malta, Poland, Portugal, Romania, Slovakia, Slovenia, Spain, Sweden, and the United Kingdom.";117;EuropeanUnion26Countries_98;108.0;98.0;;European Union: 26 countries;Topic;number;Cbs.OData.Topic
161;Long;0.0;Impossible;"Total of the countries of the European Union (1 July 2013) excluding The Netherlands.

European Union:
Convention between European countries.
The composition of the European Union 1 July 2013: Austria, Belgium, Bulgaria, Cyprus, Czech Republic, Croatia, Denmark, Estonia, Finland, France, Germany, Greece, Hungary, Ireland, Italy, Latvia, Lithuania, Luxembourg, Malta, Poland, Portugal, Romania, Slovakia, Slovenia, Spain, Sweden, and the United Kingdom.";161;EuropeanUnion27Countries_139;153.0;139.0;;European Union: 27 countries;Topic;number;Cbs.OData.Topic
207;Double;0.0;Impossible;"Total of the countries of the European Union (1 July 2013) excluding The Netherlands.

European Union:
Convention between European countries.
The composition of the European Union 1 July 2013: Austria, Belgium, Bulgaria, Cyprus, Czech Republic, Croatia, Denmark, Estonia, Finland, France, Germany, Greece, Hungary, Ireland, Italy, Latvia, Lithuania, Luxembourg, Malta, Poland, Portugal, Romania, Slovakia, Slovenia, Spain, Sweden, and the United Kingdom.";207;EuropeanUnion27Countries_181;199.0;181.0;;European Union: 27 countries;Topic;number;Cbs.OData.Topic
252;Double;0.0;Impossible;"Total of the countries of the European Union (1 July 2013)
excluding The Netherlands.
.
European Union:
Convention between European countries.
The composition of the European Union 1 July 2013: Austria, Belgium, Bulgaria, Cyprus, Czech Republic, Croatia, Denmark,
Estonia, Finland, France, Germany, Greece, Hungary, Ireland, Italy,
Latvia, Lithuania, Luxembourg, Malta, Poland, Portugal, Romania, Slovakia,
Slovenia, Spain, Sweden, and the United Kingdom.";252;EuropeanUnion27Countries_223;244.0;223.0;;European Union: 27 countries;Topic;number;Cbs.OData.Topic
298;Long;0.0;Impossible;"Total of the countries of the European Union (1 July 2013)
excluding The Netherlands.
.
European Union:
Convention between European countries.
The composition of the European Union 1 July 2013: Austria, Belgium, Bulgaria, Cyprus, Czech Republic, Croatia, Denmark,
Estonia, Finland, France, Germany, Greece, Hungary, Ireland, Italy,
Latvia, Lithuania, Luxembourg, Malta, Poland, Portugal, Romania, Slovakia,
Slovenia, Spain, Sweden, and the United Kingdom.";298;EuropeanUnion27Countries_265;290.0;265.0;;European Union: 27 countries;Topic;number;Cbs.OData.Topic
343;Long;0.0;Impossible;"Total of the countries of the European Union (1 July 2013)
excluding The Netherlands.
.
European Union:
Convention between European countries.
The composition of the European Union 1 July 2013: Austria, Belgium, Bulgaria, Cyprus, Czech Republic, Croatia, Denmark,
Estonia, Finland, France, Germany, Greece, Hungary, Ireland, Italy,
Latvia, Lithuania, Luxembourg, Malta, Poland, Portugal, Romania, Slovakia,
Slovenia, Spain, Sweden, and the United Kingdom.";343;EuropeanUnion27Countries_307;335.0;307.0;;European Union: 27 countries;Topic;number;Cbs.OData.Topic
388;Double;0.0;Impossible;"Total of the countries of the European Union (1 July 2013)
excluding The Netherlands.
.
European Union:
Convention between European countries.
The composition of the European Union 1 July 2013: Austria, Belgium, Bulgaria, Cyprus, Czech Republic, Croatia, Denmark,
Estonia, Finland, France, Germany, Greece, Hungary, Ireland, Italy,
Latvia, Lithuania, Luxembourg, Malta, Poland, Portugal, Romania, Slovakia,
Slovenia, Spain, Sweden, and the United Kingdom.";388;EuropeanUnion27Countries_349;380.0;349.0;;European Union: 27 countries;Topic;number;Cbs.OData.Topic
70;Long;0.0;Impossible;"Total of the countries of the European Union (1 July 2013) excluding The Netherlands.

European Union:
Convention between European countries.
The composition of the European Union 1 July 2013: Austria, Belgium, Bulgaria, Cyprus, Czech Republic, Croatia, Denmark, Estonia, Finland, France, Germany, Greece, Hungary, Ireland, Italy, Latvia, Lithuania, Luxembourg, Malta, Poland, Portugal, Romania, Slovakia, Slovenia, Spain, Sweden, and the United Kingdom.";70;EuropeanUnion27Countries_55;62.0;55.0;;European Union: 27 countries;Topic;number;Cbs.OData.Topic
116;Long;0.0;Impossible;"Total of the countries of the European Union (1 July 2013) excluding The Netherlands.

European Union:
Convention between European countries.
The composition of the European Union 1 July 2013: Austria, Belgium, Bulgaria, Cyprus, Czech Republic, Croatia, Denmark, Estonia, Finland, France, Germany, Greece, Hungary, Ireland, Italy, Latvia, Lithuania, Luxembourg, Malta, Poland, Portugal, Romania, Slovakia, Slovenia, Spain, Sweden, and the United Kingdom.";116;EuropeanUnion27Countries_97;108.0;97.0;;European Union: 27 countries;Topic;number;Cbs.OData.Topic
29;Double;1.0;Impossible;;29;Females_23;27.0;23.0;;Females;Topic;year;Cbs.OData.Topic
507;Long;0.0;Impossible;;507;Females_447;505.0;447.0;;Females;Topic;number;Cbs.OData.Topic
510;Long;0.0;Impossible;;510;Females_449;508.0;449.0;;Females;Topic;number;Cbs.OData.Topic
136;Double;0.0;Impossible;"Aggregate of the countries belonging to the territory of the Netherlands Antilles up to 10 October 2010 and Aruba. These countries are Bonaire, Curaçao, Saba, St Eustatius, St Maarten and Aruba.
The Netherlands Antilles ceased to exist on 10 October 2010, as all the islands now have a new status. From 10 October the Kingdom of the Netherlands consists of four countries: the Netherlands, Aruba, Curaçao and St Maarten.
Curaçao and St Maarten are new countries within the Kingdom; they are autonomous countries with a special status (status aparte) within the Kingdom. The countries have autonomous government, and are now no longer dependent on the Netherlands.
The public bodies Bonaire, St Eustatius and Saba, also called the Dutch Caribbean, are more closely connected with the Netherlands and function as 'special municipalities'.
.
On 1 January 1986 Aruba seceded from the Netherlands Antilles and became a new autonomous country with a special status (status aparte) within the Kingdom of the Netherlands. Aruba has autonomous government, and is now no longer dependent on the Netherlands.";136;FormerNetherlandsAntillesAndAruba_116;120.0;116.0;;(former) Netherlands Antilles and Aruba;Topic;number;Cbs.OData.Topic
181;Long;0.0;Impossible;"Aggregate of the countries belonging to the territory of the Netherlands Antilles up to 10 October 2010 and Aruba. These countries are Bonaire, Curaçao, Saba, St Eustatius, St Maarten and Aruba.
The Netherlands Antilles ceased to exist on 10 October 2010, as all the islands now have a new status. From 10 October the Kingdom of the Netherlands consists of four countries: the Netherlands, Aruba, Curaçao and St Maarten.
Curaçao and St Maarten are new countries within the Kingdom; they are autonomous countries with a special status (status aparte) within the Kingdom. The countries have autonomous government, and are now no longer dependent on the Netherlands.
The public bodies Bonaire, St Eustatius and Saba, also called the Dutch Caribbean, are more closely connected with the Netherlands and function as 'special municipalities'.

On 1 January 1986 Aruba seceded from the Netherlands Antilles and became a new autonomous country with a special status (status aparte) within the Kingdom of the Netherlands. Aruba has autonomous government, and is now no longer dependent on the Netherlands.";181;FormerNetherlandsAntillesAndAruba_158;165.0;158.0;;(former) Netherlands Antilles and Aruba;Topic;number;Cbs.OData.Topic
227;Double;0.0;Impossible;"Aggregate of the countries belonging to the territory of the Netherlands Antilles up to 10 October 2010 and Aruba. These countries are Bonaire, Curaçao, Saba, St Eustatius, St Maarten and Aruba.
The Netherlands Antilles ceased to exist on 10 October 2010, as all the islands now have a new status. From 10 October the Kingdom of the Netherlands consists of four countries: the Netherlands, Aruba, Curaçao and St Maarten.
Curaçao and St Maarten are new countries within the Kingdom; they are autonomous countries with a special status (status aparte) within the Kingdom. The countries have autonomous government, and are now no longer dependent on the Netherlands.
The public bodies Bonaire, St Eustatius and Saba, also called the Dutch Caribbean, are more closely connected with the Netherlands and function as 'special municipalities'.

On 1 January 1986 Aruba seceded from the Netherlands Antilles and became a new autonomous country with a special status (status aparte) within the Kingdom of the Netherlands. Aruba has autonomous government, and is now no longer dependent on the Netherlands.";227;FormerNetherlandsAntillesAndAruba_200;211.0;200.0;;(former) Netherlands Antilles and Aruba;Topic;number;Cbs.OData.Topic
272;Double;0.0;Impossible;"Aggregate of the countries belonging to the territory of the Netherlands Antilles up to 10 October 2010 and Aruba. These countries are Bonaire, Curaçao, Saba, St Eustatius, St Maarten and Aruba.
The Netherlands Antilles ceased to exist on 10 October 2010, as all the islands now have a new status. From 10 October the Kingdom of the Netherlands consists of four countries: the Netherlands, Aruba, Curaçao and St Maarten.
Curaçao and St Maarten are new countries within the Kingdom; they are autonomous countries with a special status (status aparte) within the Kingdom. The countries have autonomous government, and are now no longer dependent on the Netherlands.
The public bodies Bonaire, St Eustatius and Saba, also called the Dutch Caribbean, are more closely connected with the Netherlands and function as 'special municipalities'.

On 1 January 1986 Aruba seceded from the Netherlands Antilles and became a new autonomous country with a special status (status aparte) within the Kingdom of the Netherlands. Aruba has autonomous government, and is now no longer dependent on the Netherlands.";272;FormerNetherlandsAntillesAndAruba_242;256.0;242.0;;(former) Netherlands Antilles and Aruba;Topic;number;Cbs.OData.Topic
